English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Vesper Sparrow,Bruant vespéral,Pooecetes gramineus,1834,Regular Breeder_Espèce qui niche régulièrement,-61.4,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,,,
Lark Sparrow,Bruant à joues marron,Chondestes grammacus,1835,Regular Breeder_Espèce qui niche régulièrement,69.9,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Lark Bunting,Bruant noir et blanc,Calamospiza melanocorys,1840,Regular Breeder_Espèce qui niche régulièrement,-91.4,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,1841,Regular Breeder_Espèce qui niche régulièrement,-49.3,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,1842,Regular Breeder_Espèce qui niche régulièrement,14.8,Stable_Stables,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Baird's Sparrow,Bruant de Baird,Ammodramus bairdii,1843,Regular Breeder_Espèce qui niche régulièrement,-57.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Henslow's Sparrow,Bruant de Henslow,Ammodramus henslowii,1844,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Le Conte's Sparrow,Bruant de LeConte,Ammodramus leconteii,1845,Regular Breeder_Espèce qui niche régulièrement,-32.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Nelson's Sparrow,Bruant de Nelson,Ammodramus nelsoni,1846,Regular Breeder_Espèce qui niche régulièrement,65.7,Increasing_Augmentation,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Fox Sparrow,Bruant fauve,Passerella iliaca,1850,Regular Breeder_Espèce qui niche régulièrement,317,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Song Sparrow,Bruant chanteur,Melospiza melodia,1851,Regular Breeder_Espèce qui niche régulièrement,-43.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,1852,Regular Breeder_Espèce qui niche régulièrement,41,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Swamp Sparrow,Bruant des marais,Melospiza georgiana,1853,Regular Breeder_Espèce qui niche régulièrement,22.6,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,1855,Regular Breeder_Espèce qui niche régulièrement,-55.9,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Harris's Sparrow,Bruant à face noire,Zonotrichia querula,1856,Regular Breeder_Espèce qui niche régulièrement,-72,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
White-crowned Sparrow,Bruant à couronne blanche,Zonotrichia leucophrys,1857,Regular Breeder_Espèce qui niche régulièrement,-75.8,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Golden-crowned Sparrow,Bruant à couronne dorée,Zonotrichia atricapilla,1858,Regular Breeder_Espèce qui niche régulièrement,94,Increasing_Augmentation,CBC NA_RON AmN,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dark-eyed Junco,Junco ardoisé,Junco hyemalis,1860,Regular Breeder_Espèce qui niche régulièrement,-12.4,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow-breasted Chat,Ictérie polyglotte,Icteria virens,1884,Regular Breeder_Espèce qui niche régulièrement,7.94,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Yellow-headed Blackbird,Carouge à tête jaune,Xanthocephalus xanthocephalus,1885,Regular Breeder_Espèce qui niche régulièrement,108,Increasing_Augmentation,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Bobolink,Goglu des prés,Dolichonyx oryzivorus,1886,Regular Breeder_Espèce qui niche régulièrement,-70.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Eastern Meadowlark,Sturnelle des prés,Sturnella magna,1887,Regular Breeder_Espèce qui niche régulièrement,-84.7,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Western Meadowlark,Sturnelle de l'Ouest,Sturnella neglecta,1888,Regular Breeder_Espèce qui niche régulièrement,-53.4,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,,,
Orchard Oriole,Oriole des vergers,Icterus spurius,1908,Regular Breeder_Espèce qui niche régulièrement,662,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Bullock's Oriole,Oriole de Bullock,Icterus bullockii,1915,Regular Breeder_Espèce qui niche régulièrement,183,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Baltimore Oriole,Oriole de Baltimore,Icterus galbula,1921,Regular Breeder_Espèce qui niche régulièrement,-58.1,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,1925,Regular Breeder_Espèce qui niche régulièrement,-3.54,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,1932,Regular Breeder_Espèce qui niche régulièrement,-32.5,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,1936,Regular Breeder_Espèce qui niche régulièrement,-66.3,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,1937,Regular Breeder_Espèce qui niche régulièrement,-63.7,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Common Grackle,Quiscale bronzé,Quiscalus quiscula,1938,Regular Breeder_Espèce qui niche régulièrement,-26.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Ovenbird,Paruline couronnée,Seiurus aurocapilla,1946,Regular Breeder_Espèce qui niche régulièrement,15.3,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Worm-eating Warbler,Paruline vermivore,Helmitheros vermivorum,1947,Regular Non-breeder_Espèce non-reproductrice avec présence régulière,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Louisiana Waterthrush,Paruline hochequeue,Parkesia motacilla,1948,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,1949,Regular Breeder_Espèce qui niche régulièrement,51.6,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Golden-winged Warbler,Paruline à ailes dorées,Vermivora chrysoptera,1951,Regular Breeder_Espèce qui niche régulièrement,139,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Blue-winged Warbler,Paruline à ailes bleues,Vermivora cyanoptera,1952,Regular Breeder_Espèce qui niche régulièrement,963,Increasing_Augmentation,BBS,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,1953,Regular Breeder_Espèce qui niche régulièrement,8.15,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Prothonotary Warbler,Paruline orangée,Protonotaria citrea,1954,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,1958,Regular Breeder_Espèce qui niche régulièrement,-39.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Orange-crowned Warbler,Paruline verdâtre,Oreothlypis celata,1959,Regular Breeder_Espèce qui niche régulièrement,39.9,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Nashville Warbler,Paruline à joues grises,Oreothlypis ruficapilla,1962,Regular Breeder_Espèce qui niche régulièrement,8.29,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Connecticut Warbler,Paruline à gorge grise,Oporornis agilis,1965,Regular Breeder_Espèce qui niche régulièrement,-47.2,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
MacGillivray's Warbler,Paruline des buissons,Geothlypis tolmiei,1968,Regular Breeder_Espèce qui niche régulièrement,-14.9,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Mourning Warbler,Paruline triste,Geothlypis philadelphia,1969,Regular Breeder_Espèce qui niche régulièrement,-47.5,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Common Yellowthroat,Paruline masquée,Geothlypis trichas,1976,Regular Breeder_Espèce qui niche régulièrement,-14.5,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Hooded Warbler,Paruline à capuchon,Setophaga citrina,1982,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
American Redstart,Paruline flamboyante,Setophaga ruticilla,1983,Regular Breeder_Espèce qui niche régulièrement,0.0585,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Kirtland's Warbler,Paruline de Kirtland,Setophaga kirtlandii,1984,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Cape May Warbler,Paruline tigrée,Setophaga tigrina,1985,Regular Breeder_Espèce qui niche régulièrement,248,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Cerulean Warbler,Paruline azurée,Setophaga cerulea,1986,Regular Breeder_Espèce qui niche régulièrement,-70.1,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Northern Parula,Paruline à collier,Setophaga americana,1987,Regular Breeder_Espèce qui niche régulièrement,340,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Magnolia Warbler,Paruline à tête cendrée,Setophaga magnolia,1989,Regular Breeder_Espèce qui niche régulièrement,61.5,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Bay-breasted Warbler,Paruline à poitrine baie,Setophaga castanea,1990,Regular Breeder_Espèce qui niche régulièrement,125,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Blackburnian Warbler,Paruline à gorge orangée,Setophaga fusca,1991,Regular Breeder_Espèce qui niche régulièrement,42.8,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Yellow Warbler,Paruline jaune,Setophaga petechia,1992,Regular Breeder_Espèce qui niche régulièrement,-17.1,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Chestnut-sided Warbler,Paruline à flancs marron,Setophaga pensylvanica,1993,Regular Breeder_Espèce qui niche régulièrement,-38,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Blackpoll Warbler,Paruline rayée,Setophaga striata,1994,Regular Breeder_Espèce qui niche régulièrement,-83.8,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Black-throated Blue Warbler,Paruline bleue,Setophaga caerulescens,1995,Regular Breeder_Espèce qui niche régulièrement,159,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Palm Warbler,Paruline à couronne rousse,Setophaga palmarum,1996,Regular Breeder_Espèce qui niche régulièrement,114,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Pine Warbler,Paruline des pins,Setophaga pinus,1998,Regular Breeder_Espèce qui niche régulièrement,266,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow-rumped Warbler,Paruline à croupion jaune,Setophaga coronata,1999,Regular Breeder_Espèce qui niche régulièrement,54.6,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Prairie Warbler,Paruline des prés,Setophaga discolor,2003,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Black-throated Gray Warbler,Paruline grise,Setophaga nigrescens,2008,Regular Breeder_Espèce qui niche régulièrement,-12,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Townsend's Warbler,Paruline de Townsend,Setophaga townsendi,2009,Regular Breeder_Espèce qui niche régulièrement,32.1,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Black-throated Green Warbler,Paruline à gorge noire,Setophaga virens,2012,Regular Breeder_Espèce qui niche régulièrement,-7.69,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Canada Warbler,Paruline du Canada,Cardellina canadensis,2022,Regular Breeder_Espèce qui niche régulièrement,-55.3,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Wilson's Warbler,Paruline à calotte noire,Cardellina pusilla,2023,Regular Breeder_Espèce qui niche régulièrement,-22,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Scarlet Tanager,Piranga écarlate,Piranga olivacea,2034,Regular Breeder_Espèce qui niche régulièrement,-26.8,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Western Tanager,Piranga à tête rouge,Piranga ludoviciana,2035,Regular Breeder_Espèce qui niche régulièrement,38.4,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Northern Cardinal,Cardinal rouge,Cardinalis cardinalis,2047,Regular Breeder_Espèce qui niche régulièrement,381,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,2051,Regular Breeder_Espèce qui niche régulièrement,-23.2,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Black-headed Grosbeak,Cardinal à tête noire,Pheucticus melanocephalus,2052,Regular Breeder_Espèce qui niche régulièrement,124,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Lazuli Bunting,Passerin azuré,Passerina amoena,2059,Regular Breeder_Espèce qui niche régulièrement,324,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Indigo Bunting,Passerin indigo,Passerina cyanea,2060,Regular Breeder_Espèce qui niche régulièrement,38.1,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dickcissel,Dickcissel d'Amérique,Spiza americana,2065,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
