English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Taxonomic Sort Order _Ordre de tri taxonomique,Species Occurrence in Canada _Occurrence de l'espèce au Canada,Approx % population change (base year-2016)_Variation approx en % de la population (année de base-2016),Population change category_ Catégorie de la variation de la population ,Data Source _Source de données,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,"Seabirds (includes all 58 seabird species - all species other than those with the data source indicating ""No acceptable data for indicator"" are included in the Canadian Nesting Seabirds indicator) _Oiseaux de mer (comprend les 58 espèces d'oiseaux de mer - toutes les espèces sauf celles qui ont comme source de données « Aucune donnée acceptable pour l'indicateur » sont incluses dans l'indicateur des oiseaux de mer nichant au Canada)",Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Winter Wren,Troglodyte des forêts,Troglodytes hiemalis,1465,Regular Breeder_Espèce qui niche régulièrement,3.21,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Sedge Wren,Troglodyte à bec court,Cistothorus platensis,1467,Regular Breeder_Espèce qui niche régulièrement,25,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Marsh Wren,Troglodyte des marais,Cistothorus palustris,1468,Regular Breeder_Espèce qui niche régulièrement,283,Increasing_Augmentation,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,1469,Regular Breeder_Espèce qui niche régulièrement,1400,Increasing_Augmentation,BBS,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,1470,Regular Breeder_Espèce qui niche régulièrement,-53.6,Decreasing_Diminution,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,1504,Regular Breeder_Espèce qui niche régulièrement,822,Increasing_Augmentation,BBS,,Included_Inclus,,,,,,,,,,,,,,,,,,,
American Dipper,Cincle d'Amérique,Cinclus mexicanus,1512,Regular Breeder_Espèce qui niche régulièrement,-10.2,Stable_Stables,BBS,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,1515,Regular Breeder_Espèce qui niche régulièrement,43.2,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Ruby-crowned Kinglet,Roitelet à couronne rubis,Regulus calendula,1516,Regular Breeder_Espèce qui niche régulièrement,-30,Decreasing_Diminution,CBC NA_RON AmN,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Bluethroat,Gorgebleue à miroir,Luscinia svecica,1546,Regular and Occasional Breeder_Présence régulière et nicheur occasionnelle,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Northern Wheatear,Traquet motteux,Oenanthe oenanthe,1554,Regular Breeder_Espèce qui niche régulièrement,,,No acceptable data available_On ne dispose pas de données acceptables,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,1555,Regular Breeder_Espèce qui niche régulièrement,151,Increasing_Augmentation,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,1556,Regular Breeder_Espèce qui niche régulièrement,602,Increasing_Augmentation,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Mountain Bluebird,Merlebleu azuré,Sialia currucoides,1557,Regular Breeder_Espèce qui niche régulièrement,-18.6,Stable_Stables,BBS,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,1558,Regular Breeder_Espèce qui niche régulièrement,31.2,Stable_Stables,BBS,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
